Airport Code	Description of Airport	City Name	State	USDA Compliance Agreement in Place and Eligible for Precleared Arrivals
KEWR	Newark Liberty International Airport	Newark	New Jersey	Yes
KTEB	Teterboro Airport	Teterboro	New Jersey	Yes
KTTN	Trenton-Mercer Airport	Trenton	New Jersey	Yes
KWRI	McGuire Air Force Base	Wrightstown	New Jersey	Yes
KABQ	Albuquerque International Sunport	Albuquerque	New Mexico	Yes
KDNA	Santa Teresa Airport	Santa Teresa	New Mexico	Yes
KALB	Albany International Airport	Albany	New York	Yes
KBUF	Buffalo/Niagara International Airport	Buffalo	New York	Yes
KFRG	Republic Airport	Farmingdale	New York	Yes
KLGA	LaGuardia Airport	Flushing	New York	Yes
KGFL	Floyd Bennett Memorial Airport	Glens Falls	New York	No
K1B1	Columbia County Airport	Hudson	New York	No
KISP	Long Island MacArthur Airport	Islip	New York	Yes
KJFK	John F Kennedy International Airport	Jamaica	New York	Yes
KNY27	Fulton County Airport	Johnstown	New York	No
KMSS	Richards Field	Massena	New York	No
KSWF	Stewart International Airport	Newburgh	New York	Yes
KIAG	Niagara Falls International Airport	Niagara Falls	New York	Yes
KOGS	Ogdensburg International Airport (and Harbor)	Ogdensburg	New York	No
KN66	Oneonta Municipal Airport	Oneonta	New York	No
KPBG	Plattsburgh International Airport	Plattsburgh	New York	Yes
KROC	Greater Rochester International Airport	Rochester	New York	Yes
KNY47	Rouses Point Seaplane Base	Rouses Point	New York	No
KSLK	Adirondack Regional Airport	Saranac Lake	New York	No
K5B2	Saratoga County Airport	Saratoga Springs	New York	No
KSCH	Schenectady County Airport	Schenectady	New York	Yes
KN23	Sidney Municipal Airport	Sidney	New York	No
KSYR	Syracuse Hancock International Airport	Syracuse	New York	Yes
KART	Watertown International Airport	Watertown	New York	No
KFOK	Francis S. Gabreski Airport	Westhampton Beach	New York	Yes
KHPN	Westchester County Airport	White Plains	New York	Yes
KHSA	Stennis International Airport	Kiln	Mississippi	No
KMRH	Michael J. Smith Field	Beaufort-Morehead	North Carolina	No
KCLT	Charlotte-Douglas International Airport	Charlotte	North Carolina	Yes
KGSO	Piedmont Triad International Airport	Greensboro	North Carolina	Yes
KNKT	Cherry Point MCAS (Cunningham Field) - Military only	Havelock	North Carolina	Yes
KEQY	Charlotte Monroe Executive Airport	Monroe	North Carolina	Yes
KRDU	Raleigh-Durham International Airport	Raleigh-Durham	North Carolina	Yes
KILM	Wilmington International Airport	Wilmington	North Carolina	Yes
KINT	Smith Reynolds Airport	Winston Salem	North Carolina	Yes
KS28	International Peace Garden Airport	Dunseith	North Dakota	No
KFAR	Hector International Airport	Fargo	North Dakota	Yes
KGFK	Grand Forks International Airport	Grand Forks	North Dakota	Yes
KMOT	Minot International Airport	Minot	North Dakota	Yes
KPMB	Pembina Municipal Airport	Pembina	North Dakota	No
KXWA	Williston Basin International Airport	Williston	North Dakota	No
PGSN	Saipan International Airport	I Fadang	Northern Mariana Islands	No
PGRO	Rota International Airport	Sinapalo	Northern Mariana Islands	No
KCAK	Akron-Canton Airport	Akron	Ohio	Yes
KLUK	Cincinnati Municipal Lunken Airport	Cincinnati	Ohio	Yes
KCLE	Cleveland Hopkins International Airport	Cleveland	Ohio	Yes
